device,arch,instruction_set,rom,sram,eeprom
PIC12F1501,16Exxx,cpu_mid_v10,1024,560,0
PIC12F1571,16Exxx,cpu_mid_v10,1024,624,0
PIC12F1572,16Exxx,cpu_mid_v10,2048,752,0
PIC12F1612,16Exxx,cpu_mid_v10,2048,752,0
PIC12F1822,16Exxx,cpu_mid_v10,2048,624,256
PIC12F1840,16Exxx,cpu_mid_v10,2048,752,256
PIC12LF1501,16Exxx,cpu_mid_v10,1024,560,0
PIC12LF1552,16Exxx,cpu_mid_v10,2048,752,0
PIC12LF1571,16Exxx,cpu_mid_v10,1024,624,0
PIC12LF1572,16Exxx,cpu_mid_v10,2048,752,0
PIC12LF1612,16Exxx,cpu_mid_v10,2048,752,0
PIC12LF1822,16Exxx,cpu_mid_v10,2048,624,256
PIC12LF1840,16Exxx,cpu_mid_v10,2048,752,256
PIC12LF1840T39A,16Exxx,cpu_mid_v10,2048,752,256
PIC12LF1840T48A,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1454,16Exxx,cpu_mid_v10,2048,512,0
PIC16F1455,16Exxx,cpu_mid_v10,2048,512,0
PIC16F1459,16Exxx,cpu_mid_v10,2048,512,0
PIC16F1503,16Exxx,cpu_mid_v10,2048,624,0
PIC16F1507,16Exxx,cpu_mid_v10,2048,624,0
PIC16F1508,16Exxx,cpu_mid_v10,2048,752,0
PIC16F1509,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1512,16Exxx,cpu_mid_v10,2048,624,0
PIC16F1513,16Exxx,cpu_mid_v10,2048,752,0
PIC16F1516,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1517,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1518,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1519,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1526,16Exxx,cpu_mid_v10,2048,1264,0
PIC16F1527,16Exxx,cpu_mid_v10,2048,2032,0
PIC16F1574,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1575,16Exxx,cpu_mid_v10,2048,1504,0
PIC16F1578,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1579,16Exxx,cpu_mid_v10,2048,1504,0
PIC16F1613,16Exxx,cpu_mid_v10,2048,752,0
PIC16F1614,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1615,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1618,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1619,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1703,16Exxx,cpu_mid_v10,2048,752,0
PIC16F1704,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1705,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1707,16Exxx,cpu_mid_v10,2048,752,0
PIC16F1708,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1709,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1713,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1716,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1717,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1718,16Exxx,cpu_mid_v10,2048,2544,0
PIC16F1719,16Exxx,cpu_mid_v10,2048,2544,0
PIC16F1764,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1765,16Exxx,cpu_mid_v10,2048,1456,0
PIC16F1768,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1769,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1773,16Exxx,cpu_mid_v10,2048,1008,0
PIC16F1776,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1777,16Exxx,cpu_mid_v10,2048,1520,0
PIC16F1778,16Exxx,cpu_mid_v10,2048,2512,0
PIC16F1779,16Exxx,cpu_mid_v10,2048,2544,0
PIC16F1782,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1783,16Exxx,cpu_mid_v10,2048,1008,256
PIC16F1784,16Exxx,cpu_mid_v10,2048,1008,256
PIC16F1786,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1787,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1788,16Exxx,cpu_mid_v10,2048,2544,256
PIC16F1789,16Exxx,cpu_mid_v10,2048,2544,256
PIC16F1823,16Exxx,cpu_mid_v10,2048,624,256
PIC16F1824,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1825,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1826,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1827,16Exxx,cpu_mid_v10,2048,880,256
PIC16F1828,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1829,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1829LIN,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1847,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1933,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1934,16Exxx,cpu_mid_v10,2048,752,256
PIC16F1936,16Exxx,cpu_mid_v10,2048,1008,256
PIC16F1937,16Exxx,cpu_mid_v10,2048,1008,256
PIC16F1938,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1939,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F1946,16Exxx,cpu_mid_v10,2048,1008,256
PIC16F1947,16Exxx,cpu_mid_v10,2048,1520,256
PIC16F505,16c5x,pic12c5xx,512,96,0
PIC16F506,16c5x,pic12c5xx,512,76,0
PIC16F526,16c5x,pic12c5xx,512,76,0
PIC16F527,16c5x,pic16f527,512,80,0
PIC16F54,16c5x,pic12c5xx,512,25,0
PIC16F57,16c5x,pic12c5xx,512,96,0
PIC16F570,16c5x,pic16f527,512,160,0
PIC16F59,16c5x,pic12c5xx,512,176,0
PIC16F610,16xxxx,pic16f77,1024,80,0
PIC16F616,16xxxx,pic16f77,2048,144,0
PIC16F627,16xxxx,pic16f77,1024,272,128
PIC16F627A,16xxxx,pic16f77,1024,283,128
PIC16F628,16xxxx,pic16f77,2048,272,128
PIC16F628A,16xxxx,pic16f77,2048,283,128
PIC16F630,16xxxx,pic16f77,1024,128,128
PIC16F631,16xxxx,pic16f77,1024,112,128
PIC16F636,16xxxx,pic16f77,2048,176,256
PIC16F639,16xxxx,pic16f77,2048,176,256
PIC16F648A,16xxxx,pic16f77,2048,304,256
PIC16F676,16xxxx,pic16f77,1024,128,128
PIC16F677,16xxxx,pic16f77,2048,176,256
PIC16F684,16xxxx,pic16f77,2048,144,256
PIC16F685,16xxxx,pic16f77,2048,304,256
PIC16F687,16xxxx,pic16f77,2048,176,256
PIC16F688,16xxxx,pic16f77,2048,304,256
PIC16F689,16xxxx,pic16f77,2048,304,256
PIC16F690,16xxxx,pic16f77,2048,304,256
PIC16F707,16xxxx,pic16f77,2048,411,0
PIC16F716,16xxxx,pic16f77,2048,144,0
PIC16F72,16xxxx,pic16f77,2048,384,0
PIC16F720,16xxxx,pic16f77,2048,176,0
PIC16F721,16xxxx,pic16f77,2048,304,0
PIC16F722,16xxxx,pic16f77,2048,176,0
PIC16F722A,16xxxx,pic16f77,2048,176,0
PIC16F723,16xxxx,pic16f77,2048,240,0
PIC16F723A,16xxxx,pic16f77,2048,240,0
PIC16F724,16xxxx,pic16f77,2048,240,0
PIC16F726,16xxxx,pic16f77,2048,416,0
PIC16F727,16xxxx,pic16f77,2048,416,0
PIC16F73,16xxxx,pic16f77,2048,384,0
PIC16F737,16xxxx,pic16f77,2048,416,0
PIC16F74,16xxxx,pic16f77,2048,384,0
PIC16F747,16xxxx,pic16f77,2048,416,0
PIC16F753,16xxxx,pic16f77,2048,176,0
PIC16F76,16xxxx,pic16f77,2048,416,0
PIC16F767,16xxxx,pic16f77,2048,416,0
PIC16F77,16xxxx,pic16f77,2048,416,0
PIC16F777,16xxxx,pic16f77,2048,416,0
PIC16F785,16xxxx,pic16f77,2048,176,256
PIC16F818,16xxxx,pic16f77,1024,384,128
PIC16F819,16xxxx,pic16f77,2048,384,256
PIC16F83,16xxxx,pic16f77,512,72,64
PIC16F84,16xxxx,pic16f77,1024,136,64
PIC16F84A,16xxxx,pic16f77,1024,136,64
PIC16F87,16xxxx,pic16f77,2048,416,256
PIC16F870,16xxxx,pic16f77,2048,288,64
PIC16F871,16xxxx,pic16f77,2048,288,64
PIC16F872,16xxxx,pic16f77,2048,288,64
PIC16F873,16xxxx,pic16f77,2048,384,128
PIC16F873A,16xxxx,pic16f77,2048,384,128
PIC16F874,16xxxx,pic16f77,2048,384,128
PIC16F874A,16xxxx,pic16f77,2048,384,128
PIC16F876,16xxxx,pic16f77,2048,416,256
PIC16F876A,16xxxx,pic16f77,2048,416,256
PIC16F877,16xxxx,pic16f77,2048,416,256
PIC16F877A,16xxxx,pic16f77,2048,416,256
PIC16F88,16xxxx,pic16f77,2048,416,256
PIC16F882,16xxxx,pic16f77,2048,176,128
PIC16F883,16xxxx,pic16f77,2048,304,256
PIC16F884,16xxxx,pic16f77,2048,304,256
PIC16F886,16xxxx,pic16f77,2048,416,256
PIC16F887,16xxxx,pic16f77,2048,416,256
PIC16F913,16xxxx,pic16f77,2048,304,256
PIC16F914,16xxxx,pic16f77,2048,304,256
PIC16F916,16xxxx,pic16f77,2048,400,256
PIC16F917,16xxxx,pic16f77,2048,400,256
PIC16F946,16xxxx,pic16f77,2048,384,256
PIC16HV540,16c5x,pic12c5xx,512,25,0
PIC16HV610,16xxxx,pic16f77,1024,80,0
PIC16HV616,16xxxx,pic16f77,2048,144,0
PIC16HV753,16xxxx,pic16f77,2048,176,0
PIC16HV785,16xxxx,pic16f77,2048,176,256
PIC16LF1454,16Exxx,cpu_mid_v10,2048,512,0
PIC16LF1455,16Exxx,cpu_mid_v10,2048,512,0
PIC16LF1459,16Exxx,cpu_mid_v10,2048,512,0
PIC16LF1503,16Exxx,cpu_mid_v10,2048,624,0
PIC16LF1507,16Exxx,cpu_mid_v10,2048,624,0
PIC16LF1508,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1509,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1512,16Exxx,cpu_mid_v10,2048,624,0
PIC16LF1513,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1516,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1517,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1518,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1519,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1526,16Exxx,cpu_mid_v10,2048,1264,0
PIC16LF1527,16Exxx,cpu_mid_v10,2048,2032,0
PIC16LF1554,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1559,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1566,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1567,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1574,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1575,16Exxx,cpu_mid_v10,2048,1504,0
PIC16LF1578,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1579,16Exxx,cpu_mid_v10,2048,1504,0
PIC16LF1613,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1614,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1615,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1618,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1619,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1703,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1704,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1705,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1707,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1708,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1709,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1713,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1716,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1717,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1718,16Exxx,cpu_mid_v10,2048,2544,0
PIC16LF1719,16Exxx,cpu_mid_v10,2048,2544,0
PIC16LF1764,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1765,16Exxx,cpu_mid_v10,2048,1456,0
PIC16LF1768,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1769,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1773,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1776,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1777,16Exxx,cpu_mid_v10,2048,1520,0
PIC16LF1778,16Exxx,cpu_mid_v10,2048,2512,0
PIC16LF1779,16Exxx,cpu_mid_v10,2048,2544,0
PIC16LF1782,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1783,16Exxx,cpu_mid_v10,2048,1008,256
PIC16LF1784,16Exxx,cpu_mid_v10,2048,1008,256
PIC16LF1786,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1787,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1788,16Exxx,cpu_mid_v10,2048,2544,256
PIC16LF1789,16Exxx,cpu_mid_v10,2048,2544,256
PIC16LF1823,16Exxx,cpu_mid_v10,2048,624,256
PIC16LF1824,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1824T39A,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1825,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1826,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1827,16Exxx,cpu_mid_v10,2048,880,256
PIC16LF1828,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1829,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1847,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1902,16Exxx,cpu_mid_v10,2048,624,0
PIC16LF1903,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1904,16Exxx,cpu_mid_v10,2048,752,0
PIC16LF1906,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1907,16Exxx,cpu_mid_v10,2048,1008,0
PIC16LF1933,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1934,16Exxx,cpu_mid_v10,2048,752,256
PIC16LF1936,16Exxx,cpu_mid_v10,2048,1008,256
PIC16LF1937,16Exxx,cpu_mid_v10,2048,1008,256
PIC16LF1938,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1939,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF1946,16Exxx,cpu_mid_v10,2048,1008,256
PIC16LF1947,16Exxx,cpu_mid_v10,2048,1520,256
PIC16LF627,16xxxx,pic16f77,1024,272,128
PIC16LF627A,16xxxx,pic16f77,1024,283,128
PIC16LF628,16xxxx,pic16f77,2048,272,128
PIC16LF628A,16xxxx,pic16f77,2048,283,128
PIC16LF648A,16xxxx,pic16f77,2048,304,256
PIC16LF707,16xxxx,pic16f77,2048,411,0
PIC16LF720,16xxxx,pic16f77,2048,176,0
PIC16LF721,16xxxx,pic16f77,2048,304,0
PIC16LF722,16xxxx,pic16f77,2048,176,0
PIC16LF722A,16xxxx,pic16f77,2048,176,0
PIC16LF723,16xxxx,pic16f77,2048,240,0
PIC16LF723A,16xxxx,pic16f77,2048,240,0
PIC16LF724,16xxxx,pic16f77,2048,240,0
PIC16LF726,16xxxx,pic16f77,2048,416,0
PIC16LF727,16xxxx,pic16f77,2048,416,0
PIC16LF73,16xxxx,pic16f77,2048,384,0
PIC16LF74,16xxxx,pic16f77,2048,384,0
PIC16LF747,16xxxx,pic16f77,2048,416,0
PIC16LF76,16xxxx,pic16f77,2048,416,0
PIC16LF767,16xxxx,pic16f77,2048,416,0
PIC16LF77,16xxxx,pic16f77,2048,416,0
PIC16LF777,16xxxx,pic16f77,2048,416,0
PIC16LF818,16xxxx,pic16f77,1024,384,128
PIC16LF819,16xxxx,pic16f77,2048,384,256
PIC16LF83,16xxxx,pic16f77,512,72,64
PIC16LF84,16xxxx,pic16f77,1024,136,64
PIC16LF84A,16xxxx,pic16f77,1024,136,64
PIC16LF87,16xxxx,pic16f77,2048,416,256
PIC16LF870,16xxxx,pic16f77,2048,288,64
PIC16LF871,16xxxx,pic16f77,2048,288,64
PIC16LF872,16xxxx,pic16f77,2048,288,64
PIC16LF873,16xxxx,pic16f77,2048,384,128
PIC16LF873A,16xxxx,pic16f77,2048,384,128
PIC16LF874,16xxxx,pic16f77,2048,384,128
PIC16LF874A,16xxxx,pic16f77,2048,384,128
PIC16LF876,16xxxx,pic16f77,2048,416,256
PIC16LF876A,16xxxx,pic16f77,2048,416,256
PIC16LF877,16xxxx,pic16f77,2048,416,256
PIC16LF877A,16xxxx,pic16f77,2048,416,256
PIC16LF88,16xxxx,pic16f77,2048,416,256
PIC18F04Q20,18xxxx,cpu_pic18f_v6,16384,1120,256
PIC18F04Q40,18xxxx,cpu_pic18f_v6,16384,1120,512
PIC18F04Q41,18xxxx,cpu_pic18f_v6,16384,1120,512
PIC18F05Q20,18xxxx,cpu_pic18f_v6,32768,2144,256
PIC18F05Q40,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F05Q41,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F06Q20,18xxxx,cpu_pic18f_v6,65536,4192,256
PIC18F06Q40,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F06Q41,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F14Q20,18xxxx,cpu_pic18f_v6,16384,1120,256
PIC18F14Q40,18xxxx,cpu_pic18f_v6,16384,1120,512
PIC18F14Q41,18xxxx,cpu_pic18f_v6,16384,1120,512
PIC18F15Q20,18xxxx,cpu_pic18f_v6,32768,2144,256
PIC18F15Q40,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F15Q41,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F16Q20,18xxxx,cpu_pic18f_v6,65536,4192,256
PIC18F16Q40,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F16Q41,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F24Q10,18xxxx,egg,16384,1120,256
PIC18F24Q24,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F24Q71,18xxxx,cpu_pic18f_v6,16384,1120,256
PIC18F25Q10,18xxxx,egg,32768,2144,256
PIC18F25Q24,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F25Q43,18xxxx,cpu_pic18f_v6,32768,2144,1024
PIC18F25Q71,18xxxx,cpu_pic18f_v6,32768,2144,256
PIC18F26Q10,18xxxx,egg,65536,3455,1024
PIC18F26Q24,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F26Q43,18xxxx,cpu_pic18f_v6,65536,4192,1024
PIC18F26Q71,18xxxx,cpu_pic18f_v6,65536,4192,256
PIC18F26Q83,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F26Q84,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F27Q10,18xxxx,egg,131072,3455,1024
PIC18F27Q43,18xxxx,cpu_pic18f_v6,131072,8288,1024
PIC18F27Q83,18xxxx,cpu_pic18f_v6,131072,12896,1024
PIC18F27Q84,18xxxx,cpu_pic18f_v6,131072,12896,1024
PIC18F44Q71,18xxxx,cpu_pic18f_v6,16384,1120,256
PIC18F45Q10,18xxxx,egg,32768,2144,256
PIC18F45Q24,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F45Q43,18xxxx,cpu_pic18f_v6,32768,2144,1024
PIC18F45Q71,18xxxx,cpu_pic18f_v6,32768,2144,256
PIC18F46Q10,18xxxx,egg,65536,3455,1024
PIC18F46Q24,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F46Q43,18xxxx,cpu_pic18f_v6,65536,4192,1024
PIC18F46Q71,18xxxx,cpu_pic18f_v6,65536,4192,256
PIC18F46Q83,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F46Q84,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F47Q10,18xxxx,egg,131072,3455,1024
PIC18F47Q43,18xxxx,cpu_pic18f_v6,131072,8288,1024
PIC18F47Q83,18xxxx,cpu_pic18f_v6,131072,12896,1024
PIC18F47Q84,18xxxx,cpu_pic18f_v6,131072,12896,1024
PIC18F54Q71,18xxxx,cpu_pic18f_v6,16384,1120,256
PIC18F55Q24,18xxxx,cpu_pic18f_v6,32768,2144,512
PIC18F55Q43,18xxxx,cpu_pic18f_v6,32768,2144,1024
PIC18F55Q71,18xxxx,cpu_pic18f_v6,32768,2144,256
PIC18F56Q24,18xxxx,cpu_pic18f_v6,65536,4192,512
PIC18F56Q43,18xxxx,cpu_pic18f_v6,65536,4192,1024
PIC18F56Q71,18xxxx,cpu_pic18f_v6,65536,4192,256
PIC18F56Q83,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F56Q84,18xxxx,cpu_pic18f_v6,65536,8288,1024
PIC18F57Q43,18xxxx,cpu_pic18f_v6,131072,8288,1024
PIC18F57Q83,18xxxx,cpu_pic18f_v6,131072,12896,1024
PIC18F57Q84,18xxxx,cpu_pic18f_v6,131072,12896,1024
